Course,City,State/Province,Country,Postal Code,# Holes,Rating,Approximate_Lat,Approximate_Lon
Bethel College Disc Golf Course,Mishawaka,Indiana,United States,46545,9,0,41.693766,-86.146824
Biddle Memorial Park,Sheridan,Indiana,United States,46069,9,3,40.138691,-86.228367
Big Walnut Sports Park,Greencastle,Indiana,United States,46135,19,1.666665,39.654571,-86.893996
Blue Heron,Franklin,Indiana,United States,46131,18,3,39.473489,-86.043592
Blueberry Hill Estate and Day Spa,Paoli,Indiana,United States,47454,18,0,38.510025,-86.451821
Boondocks Farms,Knightstown,Indiana,United States,46148,18,4.666665,39.811400,-85.512466
Bourissa Hills,New Carisle,Indiana,United States,46552,9,0,41.706315,-86.481879
Boylan Acres,Monrovia,Indiana,United States,46158,18,0,39.579356,-86.373602
Brookside Park,Indianapolis,Indiana,United States,46201,18,3,39.774142,-86.109200
Brown County Country Club,Nashville,Indiana,United States,47448,24,4.5,39.179530,-86.235511
Buffalo Trace Park,Palmyra,Indiana,United States,47164,18,3,38.413092,-86.095786
Camp Cullom Youth Camp Disc Golf Course,Frankfort,Indiana,United States,46057,24,5,40.336265,-86.377328
Camp LRCA Disc Golf Course,Crown Point,Indiana,United States,46307,9,0,41.403937,-87.326039
Camp Slingshot,Winchester,Indiana,United States,47394,9,0,40.167974,-84.987308
Cannon Acres,New Albany,Indiana,United States,47150,4,0,38.283506,-85.847601
Cedar Grove Disc Golf Course,Sunman,Indiana,United States,47041,18,0,39.234052,-85.083768
Centennial Park,Plymouth,Indiana,United States,46563,5,0,41.356728,-86.327261
Ceraland Disc Golf Course,Columbus,Indiana,United States,47203,18,4,39.230403,-85.832160
CICA Disc Golf Course,Mooresville,Indiana,United States,46158,9,0,39.579356,-86.373602
Clay Township Park,South Bend,Indiana,United States,46637,9,0,41.733701,-86.241470
Clear Creek Park,Richmond,Indiana,United States,47374,18,0,39.832079,-84.889699
Commons Park Disc Golf Course,Angola,Indiana,United States,46703,18,4,41.649589,-85.006550
Cook Station Park,Millersburg,Indiana,United States,46543,9,0,41.535194,-85.672121
Countryside Park,Portage,Indiana,United States,46368,21,0,41.590820,-87.180707
County Farm Disc Golf Course,Aurora,Indiana,United States,47001,18,0,39.072665,-84.965538
Covington City Park,Covington,Indiana,United States,47932,9,4,40.134328,-87.415241
Coyote Trace,Nineveh,Indiana,United States,46131,18,0,39.473489,-86.043592
Creek Ridge Disc Golf,Michigan City,Indiana,United States,46360,9,2,41.689340,-86.869265
Crestmont,Bloomington,Indiana,United States,47404,18,3,39.219531,-86.591196
Cumberland Park,Fishers,Indiana,United States,46038,9,1,39.966704,-86.017173
Cupertino's Course,St. Meinrad,Indiana,United States,47577,18,0,38.152526,-86.808938
Dan's Disc Golf,Eckerty,Indiana,United States,47116,9,0,38.324227,-86.622010
David Imbrock Memorial Disc Golf at Bixler Lake,Kendallville,Indiana,United States,46755,18,0,41.449220,-85.275147
Decatur County Park Disc Golf Course,Greensburg,Indiana,United States,47240,9,0,39.305991,-85.478417
Deer Run Disc Golf Course,Nashville,Indiana,United States,47448,18,4,39.179530,-86.235511
Delt Church Park,Wolcottville,Indiana,United States,46795,18,0,41.553974,-85.330905
Deming Park - North,Terre Haute,Indiana,United States,47803,18,4,39.466092,-87.307322
Deming Park - South,Terre Haute,Indiana,United States,47803,18,0,39.466092,-87.307322
DISC at Fall Creek,Indianapolis,Indiana,United States,46256,18,4,39.908383,-86.013138
Dr. James A. Dillon Park,Noblesville,Indiana,United States,46060,18,4,40.064624,-85.915911
Dubois County Park Disc Golf Course,Huntingburg,Indiana,United States,47542,18,5,38.296585,-86.966599
Eagle Eye Disc Golf Course,Indianapolis,Indiana,United States,46240,9,0,39.906046,-86.124634
Eagle Valley at USI,Evansville,Indiana,United States,47712,18,0,37.926457,-87.665531
East Swinney Park,Fort Wayne,Indiana,United States,46808,18,3,41.097775,-85.177021
Eckhart Park,Auburn,Indiana,United States,46706,9,0,41.341594,-85.032655
Edgewood Disc Golf Course,Ellettsville,Indiana,United States,47429,9,0,39.273303,-86.615937
Elwood Disc Golf Course,Elwood,Indiana,United States,46036,18,4,40.295166,-85.831108
Falls Park,Pendelton,Indiana,United States,46064,9,0,39.981812,-85.738750
Ferdinand Disc Golf Course,Ferdinand,Indiana,United States,47532,9,0,38.221348,-86.860563
Ferrettie Baugo Creek County Park,Osceola,Indiana,United States,46561,18,2.5,41.663978,-86.075352
First Christian Church,Evansville,Indiana,United States,47725,9,4,38.106329,-87.524939
Fly By Faith,Lafayette,Indiana,United States,47905,18,4,40.420015,-86.766044
Forest Park Disc Golf Course,Brazil,Indiana,United States,47834,18,3,39.525549,-87.121971
Forsythe Park,Whiting,Indiana,United States,46394,18,0,41.677695,-87.489493
France Park,Logansport,Indiana,United States,46947,18,5,40.759919,-86.376113
Frank Merry Park,Dunkirk,Indiana,United States,47336,18,0,40.386666,-85.210360
Freedom Park,Lowell,Indiana,United States,46356,18,0,41.256618,-87.422184
Freedom Park Disc Golf Course,Greenwood,Indiana,United States,46143,9,1,39.595860,-86.116319
Fremont Middle School,Fremont,Indiana,United States,46737,9,0,41.719282,-84.929830
George Washington Park,Indianapolis,Indiana,United States,46218,18,4,39.807262,-86.099746
George Wilson Park,Mishawaka,Indiana,United States,46544,18,4,41.615082,-86.147820
Goodrich Park Disc Golf Course,Winchester,Indiana,United States,47394,27,0,40.167974,-84.987308
Goose Hollow Disc Golf Course,Grandview,Indiana,United States,47615,9,0,37.969660,-86.963824
Grace College Disc Golf Course,Winona Lake,Indiana,United States,46590,9,0,41.217143,-85.813135
Granger Commons Disc Golf Course,Granger,Indiana,United States,46530,9,0,41.740931,-86.126918
Grassy Creek Disc Golf Course,New Whiteland,Indiana,United States,46184,18,0,39.561936,-86.072222
Harrison Fitness Trail Disc Golf Course,Warsaw,Indiana,United States,46582,9,0,41.280602,-85.854448
Harter Park Disc Golf Course,Union City,Indiana,United States,47390,24,0,40.205668,-84.846428
Haubstadt Johnson Township Disc Golf Course,Haubstadt,Indiana,United States,47639,18,0,38.176143,-87.572939
Hawthorne Park,Porter,Indiana,United States,46304,9,0,41.613633,-87.046206
Hazel Landing Park,Carmel,Indiana,United States,46280,18,4.5,39.932373,-86.131280
Heartland Disc Golf Course,Sharpsville,Indiana,United States,46068,9,0,40.376963,-86.115827
Hidden Creek Disc Golf Course,Crown Point,Indiana,United States,46307,9,0,41.403937,-87.326039
Hidden Diamonds,Albion,Indiana,United States,46701,9,0,41.360791,-85.431238
Hidden Lake Disc Golf Course,Merrillville,Indiana,United States,46410,18,0,41.480207,-87.333065
Highland Park,Kokomo,Indiana,United States,46902,18,2,40.437275,-86.094553
Hillcrest Park Disc Golf,Vincennes,Indiana,United States,47591,9,0,38.628561,-87.501485
Hollow Acres Golf Center,Monticello,Indiana,United States,47960,9,0,40.779015,-86.751024
Honey Bear Hollow Campgrounds,Peru,Indiana,United States,46970,18,4,40.760125,-86.061471
Huntington University,Huntington,Indiana,United States,46750,9,0,40.878460,-85.496399
Indy Horizon Disc Golf Course,Lawrence,Indiana,United States,46236,18,0,39.895722,-85.967501
Johnson Township Community Park,Haubstadt,Indiana,United States,47639,18,0,38.176143,-87.572939
Kankakee Highlands,North Judson,Indiana,United States,46366,18,4.5,41.215648,-86.768059
Karst Farm Park,Bloomington,Indiana,United States,47401,18,2,39.102306,-86.442835
Kekionga Park,Decatur,Indiana,United States,46733,9,0,40.828228,-84.940039
Lake Hills Baptist Church Disc Golf Course,Schererville,Indiana,United States,46375,12,0,41.491818,-87.448746
Lapping Memorial Park,Clarksville,Indiana,United States,47129,18,0,38.313141,-85.768453
Lawrence W Inlow Park,Carmel,Indiana,United States,46033,9,3.5,39.979283,-86.085557
Lemon Lake County Park - Blue,Crown Point,Indiana,United States,46307,18,4.25,41.403937,-87.326039
Lemon Lake County Park - Gold,Crown Point,Indiana,United States,46307,18,5,41.403937,-87.326039
Lemon Lake County Park - Red,Crown Point,Indiana,United States,46307,18,5,41.403937,-87.326039
Lemon Lake County Park - Silver,Crown Point,Indiana,United States,46307,18,5,41.403937,-87.326039
Lemon Lake County Park - White,Crown Point,Indiana,United States,46307,18,5,41.403937,-87.326039
Liberty Park,Batesville,Indiana,United States,47006,9,0,39.291996,-85.215884
Linza Graham Park,Scottsburg,Indiana,United States,47170,9,0,38.685201,-85.844056
Lions Club Park,Yorktown,Indiana,United States,47396,24,3,40.189183,-85.517178
Little Slice of Heaven,Churubusco,Indiana,United States,46723,9,0,41.245530,-85.326545
Lituanica Park,Beverly Shores,Indiana,United States,46360,5,0,41.689340,-86.869265
Living Waters Disc Golf Course at New Creations,Richmond,Indiana,United States,47374,18,0,39.832079,-84.889699
Longley Park,Lebanon,Indiana,United States,46052,18,3.2,40.042907,-86.456535
Lost Bridge Disc Golf Course,Andrews,Indiana,United States,46702,9,0,40.831378,-85.628114
Lucerne Park,Warsaw,Indiana,United States,46580,9,0,41.213832,-85.869547
Maconaquah Park,Peru,Indiana,United States,46970,18,3,40.760125,-86.061471
Mastodon Disc Golf Course at Purdue,Fort Wayne,Indiana,United States,46805,18,0,41.100110,-85.117711
Matt Lovasko Disc Golf Course at Riverside Park,Hammond,Indiana,United States,46324,18,4,41.583084,-87.501585
Matter Park Disc Golf,Marion,Indiana,United States,46952,24,0,40.599427,-85.629225
McCulloch Disc Golf Course,Muncie,Indiana,United States,47306,18,4,40.202547,-85.405132
Memorial Hills Disc Golf,Huntington,Indiana,United States,46750,18,0,40.878460,-85.496399
Mesker Park,Evansville,Indiana,United States,47710,18,4,38.025505,-87.575809
Mesker Woods,Evansville,Indiana,United States,47720,18,0,38.062897,-87.641573
Milligan Park Disc Golf Course,Crawfordsville,Indiana,United States,47933,22,4.5,40.038913,-86.896849
Mississinewa State Park,Peru,Indiana,United States,46970,24,5,40.760125,-86.061471
Morse Beach Park,Noblesville,Indiana,United States,46060,9,3,40.064624,-85.915911
Moser Park,Fort Wayne (New Haven),Indiana,United States,46774,18,3.5,41.089259,-84.972549
Mt. Gilead Disc Golf Course,Mooresville,Indiana,United States,46158,18,3,39.579356,-86.373602
Murdock Park,Lafayette,Indiana,United States,47905,18,2.5,40.420015,-86.766044
New Albany Disc Golf Course,New Albany,Indiana,United States,47150,18,0,38.283506,-85.847601
New Hope Church,Greenwood,Indiana,United States,46142,6,4,39.621810,-86.175319
Niehaus Park Disc Golf Course,Huntingburg,Indiana,United States,47542,18,4,38.296585,-86.966599
Northside Knights of Columbus,Indianapolis,Indiana,United States,46220,9,0,39.867114,-86.108848
Northwest Community Park at Bethesda Baptist Church,Brownsburg,Indiana,United States,46112,18,0,39.863910,-86.382425
Northwestway Park Disc Golf Course,Indianapolis,Indiana,United States,46268,18,2,39.898613,-86.233341
Ossian Disc Golf Course,Ossian,Indiana,United States,46777,18,4,40.869136,-85.147577
Ox Bow County Park,Elkhart,Indiana,United States,46516,24,4.333335,41.676594,-85.944127
Patoka Lake State Rec Area,Birdseye,Indiana,United States,47513,18,0,38.304258,-86.714111
Pickett Park Disc Golf Course at Purdue University,West Lafayette,Indiana,United States,47906,9,0,40.479649,-86.989218
Prairie Creek Reservoir Disc Golf Course,Selma,Indiana,United States,47383,9,0,40.141861,-85.266121
Prides Creek Park Disc Golf Course,Petersburg,Indiana,United States,47567,18,4,38.462700,-87.305019
Princeton Country Club,Patoka,Indiana,United States,47666,18,0,38.417797,-87.600469
Prospect Park,Noblesville,Indiana,United States,46060,9,0,40.064624,-85.915911
Pulaski Park,Hammond,Indiana,United States,46323,18,2,41.589434,-87.453729
Purdue Northwest,Westville,Indiana,United States,46391,18,0,41.554106,-86.918985
Purdue University Calumet,Hammond,Indiana,United States,46323,9,0,41.589434,-87.453729
Ravine Park,Attica,Indiana,United States,47918,9,0,40.298678,-87.198005
Red Tail Ridge Disc Golf Course,Princeton,Indiana,United States,47670,18,0,38.344905,-87.584786
River's Edge Park,Munster,Indiana,United States,46321,9,0,41.547510,-87.503268
Rochester City Park,Rochester,Indiana,United States,46975,18,0,41.075438,-86.250139
Rockville Lake Park,Rockville,Indiana,United States,47872,18,4,39.753541,-87.153112
Rogers Elementary,Bloomington,Indiana,United States,47401,6,0,39.102306,-86.442835
Rogers Lakewood Park,Valparaiso,Indiana,United States,46385,24,5,41.460058,-87.129705
Ross Hills Park,West Lafayette,Indiana,United States,47906,9,2,40.479649,-86.989218
Rum Village Disc Golf Course,South Bend,Indiana,United States,46613,18,3.6,41.655494,-86.258431
Sahm Park,Indianapolis,Indiana,United States,46250,18,2,39.898839,-86.058720
Sanders Memorial Disc Golf Course,Anderson,Indiana,United States,46012,18,0,40.154670,-85.619672
Seviren Lang Disc Golf Course,Georgetown,Indiana,United States,47122,18,5,38.305960,-85.984844
Shady Pines,Kokomo,Indiana,United States,46901,18,3,40.531266,-86.169537
Sharpsville Park,Sharpsville,Indiana,United States,46068,9,0,40.376963,-86.115827
Sherwood Oaks Christian Church,Bloomington,Indiana,United States,47401,9,2.75,39.102306,-86.442835
Shoaff Park,Fort Wayne,Indiana,United States,46835,24,5,41.152980,-85.040800
Slayter Hill Disc Golf Course at Purdue University,West Lafayette,Indiana,United States,47907,9,4,40.424403,-86.915480
Southside 9,Princeton,Indiana,United States,47670,9,0,38.344905,-87.584786
Southside 9,Princeton,Indiana,United States,47670,9,0,38.344905,-87.584786
Sugar Creek Campground,Crawfordsville,Indiana,United States,47933,18,0,40.038913,-86.896849
Sugar Creek Park Disc Golf Course,New Palestine,Indiana,United States,46163,9,0,39.730807,-85.900593
The Boonies Disc Golf Course,Akron,Indiana,United States,46910,18,0,41.043832,-86.036308
The Fun Farm,Corydon,Indiana,United States,47112,22,3,38.195517,-86.162499
The Glen Disc Golf Course,Richmond,Indiana,United States,47374,18,4,39.832079,-84.889699
The Hill at Northview Church,Carmel,Indiana,United States,46033,18,3.75,39.979283,-86.085557
The Lodge Disc Golf Course,Syracuse,Indiana,United States,46567,18,0,41.416491,-85.725422
The Masters Disc Golf Course at Calvary Baptist,Plainfield,Indiana,United States,46168,9,2,39.685257,-86.392912
The Preserve,Kokomo,Indiana,United States,46902,18,0,40.437275,-86.094553
The Wildcat at Markle Park,Markle,Indiana,United States,46770,18,0,40.837684,-85.324251
Tillman Park Disc Golf Course,Fort Wayne,Indiana,United States,46816,19,0,41.000785,-85.036179
Todd C. Woodward Memorial Park,Lapel,Indiana,United States,46051,9,0,40.057932,-85.837287
Tower Park Disc Golf Course,Warren,Indiana,United States,46792,9,0,40.684316,-85.443330
Tripton Park,North Vernon,Indiana,United States,47265,9,5,39.014661,-85.629937
Upland Church Disc Golf Course,Upland,Indiana,United States,46989,9,0,40.448635,-85.481366
Wabash City Park,Wabash,Indiana,United States,46992,18,5,40.787305,-85.826434
Washout Waters (McAllister North),Lafayette,Indiana,United States,47904,18,0,40.438632,-86.876920
Washout Woods (McAllister South),Lafayette,Indiana,United States,47904,18,0,40.438632,-86.876920
West Swinney Park,Fort Wayne,Indiana,United States,46808,18,5,41.097775,-85.177021
Westfield Lions Disc Golf Course,Westfield,Indiana,United States,46074,9,0,40.034796,-86.170706
Wild West Wabash,Clay City,Indiana,United States,47841,9,0,39.273899,-87.114103
Woodmere Disc Golf Course,Evansville,Indiana,United States,47714,18,4,37.956614,-87.521291
Albia City Park,Albia,Iowa,United States,52531,9,0,41.026364,-92.815135
Altmaier Family Park Disc Golf Course,Coralville,Iowa,United States,52241,18,5,41.699578,-91.595951
Ambrose A. Call Park,Algona,Iowa,United States,50511,18,0,43.074041,-94.219184
Atkins Park,Atkins,Iowa,United States,52206,6,0,41.991580,-91.885466
Avoca Disc Golf Course,Avoca,Iowa,United States,51521,9,3,41.485499,-95.344680
Bakers Disc Golf Course at Rock Creek State Park,Kellogg,Iowa,United States,50135,9,0,41.750582,-92.887174
Beacon Hollow Disc Golf Course,Cherokee,Iowa,United States,51012,18,0,42.744137,-95.561849
Beaver Meadows Disc Golf Course,Parkersburg,Iowa,United States,50665,9,0,42.580363,-92.771879
Becky Zallek Disc Golf Course,Des Moines,Iowa,United States,50314,18,0,41.604964,-93.631200
Big Creek State Park,Polk City,Iowa,United States,50226,18,4,41.796243,-93.701973
Big Rock Disc Golf Course,Pella,Iowa,United States,50219,18,0,41.420905,-92.896537
Big Woods Disc Golf Course,Cedar Falls,Iowa,United States,50613,18,4,42.531380,-92.485808
Botna Bend Park,Hancock,Iowa,United States,51536,9,0,41.386619,-95.362195
Brandt Park,Denver,Iowa,United States,50622,9,0,42.672712,-92.335907
Breda Disc Golf Course,Breda,Iowa,United States,51436,9,0,42.189157,-95.024273
Brewer Creek Park Disc Golf Course,Webster City,Iowa,United States,50595,9,0,42.461417,-93.822578
Briar Cliff University,Sioux City,Iowa,United States,51104,9,0,42.536156,-96.404680
Britt Disc Golf Course,Britt,Iowa,United States,50423,9,0,43.118224,-93.814465
Brookwood Park,Waverly,Iowa,United States,50677,9,4,42.766935,-92.426212
Calkins Park,Milford,Iowa,United States,51351,9,0,43.315064,-95.183646
Camp Quaker Heights Disc Golf Course,Eldora,Iowa,United States,50627,9,0,42.350393,-93.093896
Cedar County Park Disc Golf Course,Creston,Iowa,United States,50801,9,0,41.078671,-94.401822
Centennial Park,Waukee,Iowa,United States,50263,12,2,41.593171,-93.874712
Centennial Park,Huxley,Iowa,United States,50124,9,1,41.885672,-93.604073
Centennial Park,Boyden,Iowa,United States,51234,9,0,43.192205,-96.019335
Centerville Disc Golf Course,Centerville,Iowa,United States,52544,18,3.5,40.706642,-92.912272
Central College Disc Golf Course,Pella,Iowa,United States,50219,18,3,41.420905,-92.896537
Chariton Disc Golf Course,Chariton,Iowa,United States,50049,9,0,41.034517,-93.295407
Charma Park,Dunkerton,Iowa,United States,50626,9,0,42.587047,-92.175533
Chautauqua City Park,Fairfield,Iowa,United States,52556,18,4,41.024200,-91.927545
Chautauqua Park Disc Golf Course,Sac City,Iowa,United States,50583,9,0,42.432718,-94.985692
Chippewa Creek Disc Golf Course,Eldon,Iowa,United States,52554,9,0,40.925319,-92.227697
City Park,Mitchellville,Iowa,United States,50169,9,0,41.655266,-93.352320
Clarinda Lied Center Disc Golf Course,Clarinda,Iowa,United States,51632,9,0,40.745690,-95.047167
Clarion High School Disc Golf Course,Clarion,Iowa,United States,50525,9,0,42.736497,-93.747437
Coon Rapids Disc Golf,Coon Rapids,Iowa,United States,50058,9,0,41.855710,-94.690994
Copeland Park,Correctionville,Iowa,United States,51016,9,0,42.471834,-95.805254
Cornell College,Mount Vernon,Iowa,United States,52314,9,3.5,41.935711,-91.447891
Corydon Lakes County Park,Corydon,Iowa,United States,50060,9,0,40.751408,-93.318860
Credit Island,Davenport,Iowa,United States,52802,18,3,41.494514,-90.637187
Cruise Park Course,Mechanicsville,Iowa,United States,52306,9,0,41.887089,-91.254211
Dankwardt Park,Burlington,Iowa,United States,52601,18,4,40.856050,-91.129717
Davidson Park Disc Golf Course,Osage,Iowa,United States,50461,9,0,43.306168,-92.818741
Deerwood Park,Evansdale,Iowa,United States,50707,18,4,42.458164,-92.260032
Denning Conservation Area,Donnellson,Iowa,United States,52625,9,0,40.660782,-91.574196
Devil's Glen Disc Golf Course,Bettendorf,Iowa,United States,52722,18,3,41.574300,-90.471526
Dexter American Legion Disc Golf,Dexter,Iowa,United States,50070,9,0,41.445537,-94.232632
Drulis Park,Middletown,Iowa,United States,52638,9,3,40.801453,-91.242327
Dubuque Veterans Memorial Park,Dubuque,Iowa,United States,52001,18,4.5,42.545527,-90.695841
Dysart City Park,Dysart,Iowa,United States,52224,3,0,42.165911,-92.299761
Eagle Disc Golf Course - Memorial Park,Dallas Center,Iowa,United States,50063,9,3,41.695549,-93.940678
Eagle Grove Disc Golf Course,Eagle Grove,Iowa,United States,50533,9,0,42.651928,-93.911823
Eagle Point Disc Golf,Clinton,Iowa,United States,52732,18,4.666665,41.891044,-90.253005
East Lake,Mount Pleasant,Iowa,United States,52641,18,4,40.994585,-91.585772
East Park,Mason City,Iowa,United States,50401,18,2,43.153169,-93.199820
East Park Disc Golf Course,Cresco,Iowa,United States,52136,9,1,43.374077,-92.111673
East Union School Disc Golf Course,Afton,Iowa,United States,50830,9,0,41.027101,-94.191097
Eastern Avenue Park,Davenport,Iowa,United States,52807,18,4,41.610682,-90.516851
Edgewood Park,Madrid,Iowa,United States,50156,12,2.5,41.898310,-93.801235
Edmundson Park,Oskaloosa,Iowa,United States,52577,18,0,41.272983,-92.661641
Elkader City Park Disc Golf Course,Elkader,Iowa,United States,52043,9,0,42.834020,-91.426319
Ellsworth College Park Disc Golf Course,Crystal Lake,Iowa,United States,50432,9,0,43.223915,-93.797954
Evans Park,Adel,Iowa,United States,50003,9,4,41.611504,-94.043026
Everly Park,Everly,Iowa,United States,51338,9,0,43.205366,-95.318750
Ewing Park,Des Moines,Iowa,United States,50320,18,4,41.527942,-93.567967
Faith Baptist Bible College Disc Golf Course,Ankeny,Iowa,United States,50023,9,0,41.730271,-93.634978
Fay Clark Park,Hiawatha,Iowa,United States,52233,18,2,42.046770,-91.686869
Fayette Disc Golf Course,Fayette,Iowa,United States,52142,9,0,42.824817,-91.796851
Featherstone Memorial Disc Golf Course,Manson,Iowa,United States,50563,9,0,42.527824,-94.525043
Felderman Park,Bellevue,Iowa,United States,52031,9,0,42.252564,-90.486421
Field of Greens,Clarence,Iowa,United States,52216,9,0,41.886489,-91.039637
Firebird Disc Golf Course,Coulter,Iowa,United States,50431,9,0,42.737113,-93.368223
Folletts Park,Folletts,Iowa,United States,52730,18,2,41.775670,-90.335349
Forest City Disc Golf,Forest City,Iowa,United States,50436,21,4,43.266457,-93.671070
Foster Park,Iowa Falls,Iowa,United States,50126,9,0,42.494379,-93.255400
Franklin Park,Ottumwa,Iowa,United States,52501,6,0,41.035705,-92.431370
Franklin Park Disc Golf Course,Belle Plaine,Iowa,United States,52208,18,3,41.876782,-92.256910
Fredericksburg Disc Golf Course,Fredericksburg,Iowa,United States,50630,4,0,42.957680,-92.213959
Frontier at Rodeo Park,Fort Madison,Iowa,United States,52627,18,0,40.681141,-91.357437
Fross Park,Center Point,Iowa,United States,52213,9,3,42.201852,-91.759632
Fuller Park,Muscatine,Iowa,United States,52761,18,4,41.439931,-91.064259
Gateway Hills Park (Carroll Marty Disc Golf Course),Ames,Iowa,United States,50014,18,4,42.046297,-93.694448
George Disc Golf Course,George,Iowa,United States,51237,9,0,43.336066,-96.000764
Graceland University,Lamoni,Iowa,United States,50140,18,0,40.645520,-93.986274
Grandview Park,Des Moines,Iowa,United States,50317,18,3,41.617463,-93.546621
Grandview Park,Sioux City,Iowa,United States,51104,9,0,42.536156,-96.404680
Greene Elementary School,Greene,Iowa,United States,50636,9,0,42.897382,-92.810733
Greenfield Lake City Park - Back,Greenfield,Iowa,United States,50849,18,0,41.308278,-94.386570
Greenfield Lake City Park - Front,Greenfield,Iowa,United States,50849,18,0,41.308278,-94.386570
Halbur Disc Golf Course,Halbur,Iowa,United States,51444,9,0,42.004839,-94.973118
Hampton Rotary 4-Way Test Disc Golf Course,Hampton,Iowa,United States,50441,9,0,42.741340,-93.220973
Harlan Pioneer Park,Harlan,Iowa,United States,51537,9,0,41.650131,-95.297511
Harrington Park,Nevada,Iowa,United States,50201,9,2,42.041723,-93.434905
Harrison Park Disc Golf Course,Emmetsburg,Iowa,United States,50536,9,0,43.118262,-94.705481
Heartland Christian Camp,Birmingham,Iowa,United States,52535,9,0,40.862944,-91.959572
Heritage Park,Ankeny,Iowa,United States,50021,21,3,41.724267,-93.565320
Hickory Hills Park,La Porte City,Iowa,United States,50651,9,0,42.317063,-92.196740
High Point Disc Golf Course,Bertram,Iowa,United States,52403,9,0,41.965959,-91.566054
Hillcrest Park Apartments,Cedar Falls,Iowa,United States,50613,9,0,42.531380,-92.485808
Hills Park Disc Golf Course,Sheldon,Iowa,United States,51201,9,0,43.177816,-95.866098
Hillview Disc Golf Course,Hinton,Iowa,United States,51024,9,0,42.612142,-96.262983
Horseshoe Pond,Maquoketa,Iowa,United States,52060,4,0,42.106020,-90.682756
Hull Disc Golf Course at Westside Park,Hull,Iowa,United States,51239,9,0,43.203917,-96.147481
Ida Grove City Park,Ida Grove,Iowa,United States,51445,9,0,42.321415,-95.462213
Indian Hills Community College,Ottumwa,Iowa,United States,52501,18,5,41.035705,-92.431370
Inspiration Hills Camp,Inwood,Iowa,United States,51240,9,0,43.309361,-96.458419
Interstate Battery Disc Golf Course,Urbandale,Iowa,United States,50323,9,4.5,41.625632,-93.793650
Iowa Central Community College,Fort Dodge,Iowa,United States,50501,9,0,42.492334,-94.192499
Iowa Regular Baptist Camp,Ventura,Iowa,United States,50482,18,0,43.113101,-93.486404
Iowa State University (Stable Run Disc Golf Course),Ames,Iowa,United States,50010,18,4,42.030852,-93.588400
Iowa Wesleyan College Disc Golf Course,Mt. Pleasant,Iowa,United States,52641,9,0,40.994585,-91.585772
Jakway Forest County Park,Aurora,Iowa,United States,50607,9,0,42.610550,-91.749864
Jaycees Disc Golf Course,New Hampton,Iowa,United States,50659,9,0,43.095838,-92.329051
Jefferson Elementary School,Pella,Iowa,United States,50219,9,0,41.420905,-92.896537
Joe Hoye Park,Estherville,Iowa,United States,51334,9,0,43.404109,-94.805056
Johnson Park,Van Meter,Iowa,United States,50003,9,0,41.611504,-94.043026
Jones Park,Cedar Rapids,Iowa,United States,52404,18,4.333335,41.923056,-91.698866
Kanawha Disc Golf Course,Kanawha,Iowa,United States,50447,9,0,42.925400,-93.797708
Kelly Oaks Disc Golf Course,Peosta,Iowa,United States,52068,9,0,42.422865,-90.817176
Kelly Park Disc Golf Course,Red Oak,Iowa,United States,51566,10,0,41.016459,-95.230901
Kelly's Park,Cedar Rapids,Iowa,United States,52404,9,0,41.923056,-91.698866
Lake Fisher Disc Golf Course,Bloomfield,Iowa,United States,52537,18,0,40.734988,-92.413618
Lake Icaria,Corning,Iowa,United States,50841,18,0,41.009072,-94.768812
Lake Iowa Disc Golf Course,Ladora,Iowa,United States,52251,18,0,41.710291,-92.192601
Lake Malone Disc Golf Course,DeWitt,Iowa,United States,52742,12,1.5,41.838263,-90.519700
Lake of Three Fires,Bedford,Iowa,United States,50833,9,4,40.670545,-94.700888
Lake Okoboji Camp Disc Golf Course,Spirit Lake,Iowa,United States,51360,9,0,43.443563,-95.087030
Lake Orient Recreation Area,Orient,Iowa,United States,50858,18,0,41.221263,-94.409669
Laker Links,Emmetsburg,Iowa,United States,50536,18,0,43.118262,-94.705481
Larchwood Disc Golf Course,Larchwood,Iowa,United States,51241,9,0,43.451232,-96.461750
Laurel Park,Gowrie,Iowa,United States,50543,9,0,42.274696,-94.304640
Legion Park,Marion,Iowa,United States,52302,19,3,42.065358,-91.560548
Leif Erikson Park,Sioux City,Iowa,United States,51104,9,0,42.536156,-96.404680
Lewis Club Park,Colfax,Iowa,United States,50054,18,4,41.690374,-93.233338
Lions Park,Des Moines (Altoona),Iowa,United States,50009,12,0,41.644957,-93.459330
LJ Thompson Park,Wapello,Iowa,United States,52653,9,4,41.163699,-91.157419
Lost Island Waterpark KOA,Waterloo,Iowa,United States,50701,9,0,42.418259,-92.339821
Lowden Memorial Park Disc Golf Course,Lowden,Iowa,United States,52255,9,3,41.863616,-90.961247
Luther College Disc Golf Course,Decorah,Iowa,United States,52101,9,3,43.353610,-91.766050
Madison Ave Disc Golf Course,Burlington,Iowa,United States,52601,9,0,40.856050,-91.129717
Malcom Disc Golf Course,Malcom,Iowa,United States,50157,9,0,41.739767,-92.563011
Mammoth Disc Golf,University Park,Iowa,United States,52595,9,0,41.288630,-92.614973
Mandeville Park,Lakeside,Iowa,United States,50588,9,0,42.654596,-95.161555
Manly Disc Golf Course,Manly,Iowa,United States,50456,5,0,43.291262,-93.216049
Manning Disc Golf Course,Manning,Iowa,United States,51455,9,0,41.911565,-95.055142
