Course,City,State/Province,Country,Postal Code,# Holes,Rating,Approximate_Lat,Approximate_Lon
Monte Sano State Park,Huntsville,Alabama,United States,35801,18,4,34.725269,-86.560866
MRAG Disc Golf Course,Mobile,Alabama,United States,36618,18,0,30.736902,-88.169796
Municipal Red Disc Golf Course,Mobile,Alabama,United States,36608,18,0,30.681503,-88.300213
New Hope City Park Disc Golf Course,New Hope,Alabama,United States,35760,18,0,34.543906,-86.383856
North Jasper Park,Jasper,Alabama,United States,35503,18,0,33.936479,-87.305113
Ol' Colony Disc Golf Course,Tuscaloosa,Alabama,United States,35406,18,0,33.338867,-87.469325
Oliver Park Disc Golf Course,Calera,Alabama,United States,35040,18,0,33.102967,-86.728894
Oscar Johnson Park,Silverhill,Alabama,United States,36576,5,0,30.522953,-87.763833
Osprey Disc Golf Course,Orange Beach,Alabama,United States,36561,9,3,30.288702,-87.571504
Palmore Park,Tuscaloosa,Alabama,United States,35401,18,0,33.170238,-87.616169
Pecan Hollow at Graham Creek Nature Preserve,Foley,Alabama,United States,36542,18,5,30.269654,-87.750627
Quail Creek One Disc Golf Course,Hartselle,Alabama,United States,35640,18,0,34.440702,-86.943677
Rainbow City Disc Golf Course,Rainbow City,Alabama,United States,35906,18,4,33.927149,-86.095113
Redstone Arsenal,Huntsville,Alabama,United States,35808,21,4,34.633027,-86.659057
Revelation Mountain,Pell City,Alabama,United States,35125,18,0,33.633384,-86.288692
Semmes Middle School,Semmes,Alabama,United States,36575,9,0,30.769164,-88.273387
Shocco Springs,Talladega,Alabama,United States,35160,9,0,33.356656,-86.052297
Smiths Station Disc Golf Course,Smiths Station,Alabama,United States,36877,18,0,32.573153,-85.101369
Southside Park,Huntsville,Alabama,United States,35803,18,0,34.563461,-86.519399
Sparkman Park - Lakeside,Hartselle,Alabama,United States,35640,18,0,34.440702,-86.943677
Sparkman Park - Original,Hartselle,Alabama,United States,35640,18,2,34.440702,-86.943677
Sportsplex,Athens,Alabama,United States,35611,19,4,34.773833,-87.084145
Spring Hill College Disc Golf Course,Mobile,Alabama,United States,36608,18,0,30.681503,-88.300213
Spring Street Disc Golf Course,Adamsville,Alabama,United States,35005,9,0,33.595950,-87.000649
Springhill Hobbit Disc Golf Course,Mobile,Alabama,United States,36607,18,1,30.698560,-88.105760
Stapleton School Disc Golf Course,Stapleton,Alabama,United States,36578,9,0,30.749286,-87.779057
Steele Creek,Satsuma,Alabama,United States,36572,9,0,30.857722,-88.061419
Taylor Disc Golf Course,Taylor,Alabama,United States,36301,9,0,31.140065,-85.398289
The Admiral,Semmes,Alabama,United States,36575,18,0,30.769164,-88.273387
The Eagle Disc Golf Course,Jasper,Alabama,United States,35504,18,0,33.894135,-87.170812
The Oaks at Eastgate Park,Ashford,Alabama,United States,36312,18,0,31.170833,-85.236826
The Outback at Central Park Baptist,Decatur,Alabama,United States,35601,9,0,34.608016,-87.011052
The Prairie at Graham Creek Nature Preserve,Foley,Alabama,United States,36535,18,5,30.383999,-87.727359
The Preserve at Graham Creek Nature Preserve,Foley,Alabama,United States,36535,18,5,30.383999,-87.727359
The Ridge,Springville,Alabama,United States,35146,18,0,33.795070,-86.453279
The River Course,Phenix City,Alabama,United States,36867,18,3,32.495317,-85.024588
The Tiger Trail at U of W. Alabama,Livingston,Alabama,United States,35470,18,0,32.561974,-88.066347
Tumble Tree Disc Golf Course,Opelika,Alabama,United States,36801,18,4.5,32.694763,-85.395626
Univ. of Ala. Huntsville (UAH),Huntsville,Alabama,United States,35805,18,0,34.709368,-86.620290
University of Mobile Disc Golf Course,Eight Mile,Alabama,United States,36613,18,0,30.809841,-88.187450
University of Montevallo,Montevallo,Alabama,United States,35115,18,0,33.142473,-86.891528
University of South Alabama,Mobile,Alabama,United States,36608,18,0,30.681503,-88.300213
Valley Junior High Disc Golf Course,Jasper,Alabama,United States,35504,12,0,33.894135,-87.170812
Veterans Park DGC,Alabaster,Alabama,United States,35007,18,0,33.215623,-86.797656
Wallace State Community College,Hanceville,Alabama,United States,35057,18,0,34.180462,-86.934257
Aant'iyeik Park,Juneau,Alaska,United States,99801,18,0,58.372910,-134.178445
Alcantra Disc Golf - Big Su,Wasilla,Alaska,United States,99654,20,0,61.449113,-149.900744
Alcantra Disc Golf - Little Su,Wasilla,Alaska,United States,99654,9,4,61.449113,-149.900744
Birch Ridge Disc Golf Course,Soldotna,Alaska,United States,99669,18,0,60.360150,-151.017884
Buoy Dunes,St. Paul,Alaska,United States,99660,9,0,57.179041,-170.325068
Davis Park,Anchorage,Alaska,United States,99501,9,0,61.220018,-149.855702
Eagle River High School Disc Golf Course,Eagle River,Alaska,United States,99577,9,4,61.201420,-149.248298
Eureka Disc Golf at Univeristy of Alaska SE,Juneau,Alaska,United States,99801,9,0,58.372910,-134.178445
Girdwood Forest Fair Park,Girdwood,Alaska,United States,99587,36,4,60.965808,-148.876643
Glacier Point,Glacier Point,Alaska,United States,99827,18,0,59.098771,-135.576936
Glass Park at Fort Wainwright,Fairbanks,Alaska,United States,99703,18,0,64.832624,-147.622719
Hanshew Middle School,Anchorage,Alaska,United States,99507,9,2,61.147656,-149.753642
Hilltop Ski Area,Anchorage,Alaska,United States,99507,18,5,61.147656,-149.753642
Hilltop Yellow Short 9,Anchorage,Alaska,United States,99507,9,5,61.147656,-149.753642
Jack Gist Park,Homer,Alaska,United States,99603,9,4,59.538519,-151.186927
Kenai Eagle Disc Golf Course,Kenai,Alaska,United States,99611,18,0,60.600458,-151.106322
Kincaid Park Disc Golf Course,Anchorage,Alaska,United States,99502,18,4.666665,61.163643,-149.996609
King Salmon Park,King Salmon,Alaska,United States,99613,9,0,59.010266,-155.901780
Mountain Disc Golf Course at Alyeska Resort,Girdwood,Alaska,United States,99587,9,0,60.965808,-148.876643
Nikiski Recreation Center Disc Golf Course,Nikiski,Alaska,United States,99611,18,0,60.600458,-151.106322
North Point Higgins,Ketchikan,Alaska,United States,99901,18,0,55.540405,-131.105347
Palmer High School,Palmer,Alaska,United States,99645,9,0,61.624490,-148.979752
Peters Creek Disc Golf Course,Chugiak,Alaska,United States,99567,18,4,61.299351,-149.021091
Raven's Bowl,Haines,Alaska,United States,99827,18,0,59.098771,-135.576936
Reservoir Course,Cordova,Alaska,United States,99574,9,0,60.893995,-145.109037
River City Disc Golf Course on Tsalteshi Trails,Soldotna,Alaska,United States,99669,19,0,60.360150,-151.017884
Ryan Creek Disc Golf Course,Kenai,Alaska,United States,99611,9,0,60.600458,-151.106322
Schroeder Park Disc Golf Course,Eagle River,Alaska,United States,99577,9,2,61.201420,-149.248298
Service High School,Anchorage,Alaska,United States,99507,9,3,61.147656,-149.753642
Seven Pastures,Skagway,Alaska,United States,99840,18,0,59.575097,-135.335418
Seward Middle School,Seward,Alaska,United States,99664,9,0,60.076335,-149.492662
Soldotna High School,Soldotna,Alaska,United States,99669,9,0,60.360150,-151.017884
Sutton Elementary Disc Golf Course,Sutton,Alaska,United States,99674,9,0,61.591281,-148.061954
The Moose Pretzel,Homer,Alaska,United States,99603,18,5,59.538519,-151.186927
UAF Blue Disc Golf Course,Fairbanks,Alaska,United States,99709,9,0,64.862968,-148.164072
UAF Gold Disc Golf Course,Fairbanks,Alaska,United States,99709,18,4,64.862968,-148.164072
Westchester Lagoon Park,Anchorage,Alaska,United States,99503,9,2.5,62.043951,-158.175667
A.V. Anderson Park Disc Golf Course,Sierra Vista,Arizona,United States,85635,18,3.5,31.571011,-110.170235
Arizona Snowbowl,Flagstaff,Arizona,United States,86001,18,4,35.287661,-111.639303
Blanchard Disc Golf Course,Tucson,Arizona,United States,85707,18,0,32.179204,-110.886913
Buffalo Ridge Park,Phoenix,Arizona,United States,85022,27,4,33.627240,-112.048414
Cactus Flats,Kingman,Arizona,United States,86409,18,0,35.461006,-114.018060
Canyon Trails Disc Golf Course,Goodyear,Arizona,United States,85338,9,0,33.372975,-112.410829
Casa Grande Disc Golf Course - College Park,Casa Grande,Arizona,United States,85122,9,0,32.917126,-111.744208
Cerbat Cliffs Golf Course,Kingman,Arizona,United States,86401,18,0,35.131719,-113.703932
Coldwater Ranch,Peoria,Arizona,United States,85383,18,0,33.807403,-112.251970
Conocido Park,Phoenix,Arizona,United States,85053,18,3.5,33.629922,-112.131609
Copper Sky,Maricopa,Arizona,United States,85139,18,0,32.979987,-112.144852
Deer Creek Canyon at Haulapai Mountain,Kingman,Arizona,United States,86401,9,0,35.131719,-113.703932
Emerald Park,Mesa,Arizona,United States,85204,9,3,33.395720,-111.786608
Emmanuel Pines Camp,Prescott,Arizona,United States,86305,18,0,34.864326,-112.911764
Firefighters Memorial Park,Kingman,Arizona,United States,86401,9,0,35.131719,-113.703932
Fountain Hills Disc Golf Course,Fountain Hills,Arizona,United States,85268,19,4.5,33.606089,-111.743277
Four Seasons Disc Golf Course,Snowflake,Arizona,United States,85937,18,0,34.573702,-110.064102
Freestone Park,Gilbert,Arizona,United States,85234,9,0,33.361667,-111.741003
Golf Club at Oasis,Florence,Arizona,United States,85132,9,0,32.926782,-111.215097
Grand Canyon Caverns Inn Disc Golf Course,Peach Springs,Arizona,United States,86434,9,1,35.676651,-113.620551
Grand Island Disc Golf Course,Lake Havasu,Arizona,United States,86403,9,2,34.480257,-114.348504
Greens Park Disc Golf Course,San Tan Valley,Arizona,United States,85143,9,0,33.158661,-111.519050
Groves Park,Tucson,Arizona,United States,85730,9,4.5,32.181544,-110.746552
Hidden Cove Disc Golf Course,Holbrook,Arizona,United States,86025,18,0,34.930781,-110.104808
Ironside Bluffs,Show Low,Arizona,United States,85901,18,5,34.314806,-110.024014
Los Olivos,Phoenix,Arizona,United States,85016,9,3.75,33.511517,-112.019166
Marana Rock Disc Golf Course,Marana,Arizona,United States,85743,18,4.166665,32.302273,-111.181848
Marbella Vineyards,Gilbert,Arizona,United States,85298,9,3.5,33.241186,-111.726727
Maricopa Meadows,Maricopa,Arizona,United States,85138,27,0,33.007626,-111.989532
McKellips Lake,Scottsdale,Arizona,United States,85257,3,0,33.461960,-111.916392
McPherson Park,Flagstaff,Arizona,United States,86001,18,3.5,35.287661,-111.639303
Meadview,Meadview,Arizona,United States,86444,9,2.5,35.897037,-114.047212
Mesquite Grove Disc Golf Course,Chandler,Arizona,United States,85249,9,2.333335,33.224956,-111.795717
Moeur Park,Phoenix (Tempe),Arizona,United States,85282,18,4,33.393984,-111.932906
Mountain Bridge Disc Golf Practice Area,Mesa,Arizona,United States,85207,5,0,33.454586,-111.637972
Mountain Meadow Ranch,Payson,Arizona,United States,85541,18,0,34.194537,-111.304309
Mountainview at MCC,Bullhead City,Arizona,United States,86442,9,5,35.089613,-114.560868
Northern Arizona University Disc Golf Course,Flagstaff,Arizona,United States,86001,18,0,35.287661,-111.639303
Page Disc Golf,Page,Arizona,United States,86040,9,0,36.705496,-111.427538
Paseo Vista Recreation Area,Chandler,Arizona,United States,85286,18,3.666665,33.271981,-111.831774
Ponderosa Park,Prescott,Arizona,United States,86303,18,4,34.482405,-112.449649
Queen Creek Disc Golf,Queen Creek,Arizona,United States,85142,7,0,33.199990,-111.636294
Red Mountain - North,"Mesa,",Arizona,United States,85207,18,3,33.454586,-111.637972
Red Mountain - South,Mesa,Arizona,United States,85207,18,3,33.454586,-111.637972
Redline Disc Golf Course,Glendale,Arizona,United States,85303,18,0,33.532699,-112.221063
Ridge Line Disc Golf Course,Flagstaff,Arizona,United States,86001,9,0,35.287661,-111.639303
Rillito River Park Disc Golf Course,Tucson,Arizona,United States,85719,18,4.25,32.246719,-110.948657
Riverfront Park,Cottonwood,Arizona,United States,86326,18,4,34.700031,-112.023634
Riverview Disc Golf Course,Bullhead City,Arizona,United States,86442,9,3,35.089613,-114.560868
Rumsey Park,Payson,Arizona,United States,85541,9,3.666665,34.194537,-111.304309
Sam Lena Park,Tucson,Arizona,United States,85713,6,5,32.194570,-111.014995
Santa Cruz River Park,Tucson,Arizona,United States,85745,18,3.5,32.253908,-111.080140
