ID,Name, Number of holes, Latitude, Longitude
126,Austintown Township Park,18,41.07,-80.77
127,A.V. Anderson Park Disc Golf Course,18,31.54,-110.29
128,Avalanche Preserve Recreation Area,18,45.20,-85.01
129,Avalon Peaks Apartments,18,35.72,-78.82
130,The Aviary Disc Golf Course,18,38.79,-104.78
131,Avon Town Hall Disc Golf Course,18,39.77,-86.41
132,Axldog Acres Disc Golf Course,20,45.00,-92.05
133,Ayden Park,18,35.49,-77.43
134,Azalea State Park,18,42.06,-124.28
135,Aztec Disc Golf Course,18,36.82,-107.96
136,B. B. Owen Park,18,32.88,-96.70
137,B1 Disc Golf Course,18,33.37,-84.52
138,Back 40 at Fulkerson Winery and Farm,18,42.49,-76.93
139,Mont du Lac - Backwoods,18,46.65,-92.28
140,The Backyard at Skamania Lodge,18,45.69,-121.90
141,Bad Rock Creek Disc Golf Course,18,39.23,-94.39
142,Bailey Disc Golf Course,20,39.44,-105.44
143,Bailey Park Disc Golf Course,18,40.05,-91.07
144,Bailey Road Park,21,35.47,-80.84
145,Chili Disc Golf Course at Widener Park,18,43.08,-77.77
146,Baker Lake Park Disc Golf Course,18,41.35,-89.11
147,Baker Park,18,41.25,-89.94
148,Baldfoot Disc Golf Course,18,48.29,-116.58
149,Baldridge Park,18,38.46,-107.88
150,Baldwin City Lake,18,38.76,-95.16
151,Ballard Disc Golf Course,18,34.25,-88.77
152,Ballou Park Disc Golf Course #2,18,36.57,-79.42
153,Ballyknock,18,38.49,-79.34
154,Horseshoe Bend Disc Golf,18,29.71,-99.08
155,Banks County Parks and Recreation,24,34.32,-83.48
156,Baraboo Lions Disc Golf Course,18,43.48,-89.76
157,Barber Park,18,36.05,-79.75
158,Barboursville City Park,18,38.39,-82.30
159,Barclay College,18,37.62,-99.10
160,Barfield Crescent Park,18,35.78,-86.41
161,BarkEater Disc Golf at Osgood Pond,18,44.45,-74.26
162,Barnet Park,18,35.28,-77.64
163,Barnett Park - North,18,28.56,-81.44
164,Barnett Park - Parkside,18,28.56,-81.44
165,Barre Falls,18,42.43,-72.02
166,Bartlett Park Disc Golf Course,18,36.06,-118.93
167,Bartlett Park,18,39.75,-94.82
168,Base Camp Adventure Disc Golf Course,18,38.47,-109.65
169,Base Camp Outfitters Disc Golf,18,43.67,-72.80
170,Basil Griffin Park,18,36.92,-86.44
171,Basil Marella Park,18,43.24,-77.68
172,Carlsbad Disc Golf Course,18,32.41,-104.22
173,Bates Park,18,29.16,-95.44
174,Battle Park,18,35.96,-77.80
175,Battleground Disc Golf Course,18,39.16,-80.05
176,The Baty Disc Golf Course,18,42.23,-91.18
177,The Monster at Majette Disc Golf Course,18,30.24,-85.52
178,Bay Street Park Disc Golf Course,18,29.39,-94.89
179,Baylor Park,18,44.81,-93.94
180,Bayville Farms Park,18,36.90,-76.12
181,The Woods at Trinity,21,33.28,-96.61
