ID,Name, Number of holes, Latitude, Longitude
1013,Eagle Ridge Park at Civic Center,18,41.70,-88.35
1014,Eagle Run 18,18,43.63,-90.98
1015,Eagle Summit at Decatur High School,18,33.22,-97.58
1016,Eagle Valley at USI,18,37.96,-87.68
1017,Eagle Valley Disc Golf,18,35.80,-96.65
1018,Eagles Crossing Disc Golf Course,18,38.97,-91.21
1019,Eagles Landing at Little Black Creek,18,31.10,-89.48
1020,Eagles Nest at Little Black Creek,18,31.09,-89.48
1021,The Eagles' Nest,18,35.62,-77.45
1022,Eagles Nest Disc Golf Course,18,39.68,-82.57
1023,Eagle's Nest at Sagebrush Flats,18,45.89,-112.47
1024,Eagle's Nest,18,35.45,-94.34
1025,Earhart Disc Golf Course,18,39.54,-95.15
1026,Earl W. Brewer Park,18,42.82,-85.66
1027,Earlewood Park,18,34.03,-81.04
1028,East Carolina University,18,35.63,-77.32
1029,East China Township Park Disc Golf Course,18,42.76,-82.49
1030,East Clayton Park,18,35.64,-78.42
1031,East Frankfort Park Disc Golf Course,24,38.19,-84.84
1032,East Georgia College Disc Golf Course,18,32.60,-82.31
1033,East Hanover Township Community Park,18,40.36,-76.68
1034,East Harbor State Park Disc Golf Course,18,41.54,-82.82
1035,East Jordan Community Park,18,45.14,-85.12
1036,East La Loma Park,27,37.65,-120.96
1037,East Lake,18,40.95,-91.52
1038,East Metro Park,18,30.29,-97.53
1039,East Palestine City Park Disc Golf Course,18,40.83,-80.55
1040,East Park,18,43.16,-93.19
1041,East Roswell Park,18,34.00,-84.30
1042,East Swinney Park,18,41.07,-85.16
1043,Wally Wurld Disc Golf Course,18,43.45,-72.87
1044,Easter Seals Disc Golf Course,27,39.75,-105.66
1045,Easterlin Park,18,26.17,-80.16
1046,Eastern Avenue Park,18,41.55,-90.55
1047,Eastern Oregon University,18,45.32,-118.09
1048,Eastern Park,18,34.77,-76.52
1049,The Oaks at Eastgate Park,18,31.16,-85.32
1050,Eastminster Church Disc Golf Course,18,37.72,-97.22
1051,Eastway Park,18,35.26,-80.77
1052,Echo Valley at Hoffmann Reserve,18,39.54,-84.16
1053,Ecker Hill Disc Golf Course,18,41.84,-72.46
1054,Ed Austin Park (Fore Palms Disc Golf Course),24,30.36,-81.51
1055,The Edge Disc Golf at Riverside Park,24,43.95,-86.28
1056,Edgewater Disc Golf Course,18,48.42,-122.34
1057,Edgewater Disc Golf Course,18,40.57,-122.37
1058,Edinboro University Royal Scots Disc Golf Links,18,41.87,-80.12
1059,Edisto Memorial Gardens Disc Golf Course,18,33.48,-80.87
1060,Edmund Orgil,20,35.37,-89.84
1061,Edmunds Park Disc Golf Course,18,36.72,-78.87
1062,Edmundson Park,18,41.28,-92.66
1063,Edora Park,18,40.56,-105.05
1064,Edward Medard Disc Golf Park,18,27.93,-82.17
1065,Edwards Park,18,34.88,-84.93
1066,Edwin M. Griffin Preserve,18,34.95,-81.89
1067,Effingham Disc Golf Course,18,39.12,-88.53
1068,Post'l Point Disc Golf at Eglin Air Force Base,18,30.48,-86.48
1069,Eiffel Tower Park,18,36.29,-88.30
1070,Eighteens at The Pond - East,18,34.70,-92.36
1071,Eighteens at The Pond - West,18,34.70,-92.36
1072,El Dorado Disc Golf Course,18,37.81,-96.88
1073,El Dorado Park Disc Golf Course,18,33.81,-118.10
1074,El Rio Disc Golf Course,18,32.24,-111.00
1075,Redemption Ranch,25,38.98,-90.81
1076,Eldon Lyon Park,18,35.51,-97.64
1077,Eleanor Park,18,38.54,-81.92
1078,Elevation Chains,19,44.65,-72.72
1079,Elizabethtown College,18,40.15,-76.59
1080,Elk Creek Disc Golf Course,18,37.38,-78.87
1081,Elk Ridge Ranch,18,38.56,-86.76
1082,Elk Run Disc Golf Course,18,42.68,-96.69
1083,Ella Sharp Disc Golf Course,18,42.22,-84.42
1084,Ellicott Creek Disc Golf Course,18,43.01,-78.87
1085,Ellis Park Disc Golf Course,18,35.73,-80.47
1086,Ellison Park,18,43.15,-77.53
1087,Ellsworth AFB Disc Golf Course,18,44.14,-103.08
1088,Elm Creek Park Reserve,18,45.14,-93.44
1089,Elmer Thomas Disc Golf Course,18,34.62,-98.40
1090,Elmwood Park,18,39.83,-99.89
1091,Elon Park - Angry Beaver,18,35.02,-80.84
1092,Elon Park - Eager Beaver,18,35.02,-80.84
1093,Elver Park,18,43.04,-89.50
1094,Elwood Disc Golf Course,18,40.26,-85.85
1095,Emerald Hills Disc Golf Course,19,37.45,-122.26
1096,Emerson Park Disc Golf Course,18,42.90,-76.54
1097,Emmanuel Pines Camp,18,34.57,-112.54
1098,Emmitsburg Community Park Disc Golf Course,18,39.70,-77.33
1099,Emory and Henry College,18,36.77,-81.83
1100,Empire Park Disc Golf Course,18,36.66,-93.13
1101,Emporia Country Club,18,38.42,-96.19
1102,Emporia Middle School,18,38.43,-96.22
1103,Enchanted Lands Disc Golf,18,33.40,-104.57
1104,Endicott Park,18,38.71,-90.34
1105,Energy Rotary Club Disc Golf Course,20,44.29,-105.45
1106,Enger Park,18,46.78,-92.13
1107,Engler Park Disc Golf Course,18,37.75,-90.43
1108,Englewood Metro Park Disc Golf Course,18,39.88,-84.28
1109,Englewood Park,18,35.95,-77.83
1110,Enka High School Disc Golf Course,18,35.53,-82.67
1111,Ennis Disc Golf at Lake Clark Park,18,32.32,-96.66
1112,Enterprise Community Park,18,40.55,-122.34
1113,Ephram White Park,18,37.04,-86.35
1114,EPIC KC - North,18,39.05,-94.37
1115,Escondido Rotary Disc Golf Course at Kit Carson Park,18,33.08,-117.06
1116,Estabrook Park,18,43.10,-87.91
1117,Estates Park,18,39.72,-105.18
1118,Estero Disc Golf Course,18,26.43,-81.80
1119,Ethan Page Park Disc Golf Course,18,36.20,-86.50
1120,Etowah Disc Golf Course,18,34.16,-84.74
1121,Eubank City Park,24,37.28,-84.65
1122,Eugene T Mahoney State Park,18,41.03,-96.31
1123,Euharlee Disc Golf at Joe Cowan Park,18,34.15,-84.94
1124,Evangola State Park,18,42.61,-79.11
1125,Evergreen Disc Golf Course,18,29.72,-94.96
1126,Evergreen Disc Golf Course,18,47.07,-122.97
1127,Evergreen Open Space,18,34.44,-119.89
1128,Everwood Disc Golf Course,18,40.48,-90.67
1129,Ewing Park,18,41.54,-93.58
1130,Expo Park,18,39.70,-104.86
1131,F. Burton Smith Park,23,28.36,-80.86
1132,Fahrens Park Disc Golf Course,21,37.33,-120.49
1133,FTX Disc Golf Course,18,31.72,-96.14
1134,Fairfield Park,18,42.35,-88.11
1135,Fairfield University,18,41.16,-73.26
1136,Fairgrounds Disc Golf Course,18,37.78,-80.46
1137,Fairhope Municipal Park,20,30.54,-87.89
1138,Fairmont Park Disc Golf Course,18,40.72,-111.86
1139,Fairmont Park,18,39.18,-96.55
1140,Fairview Park Disc Golf Course,18,40.06,-76.48
1141,Fairview Park Disc Golf Course,18,34.25,-86.69
1142,Fairways of Canton,20,34.27,-84.52
1143,Fairy Diddle at Snowshoe Mountain,18,38.42,-79.97
1144,Falcon Ridge Disc Golf Course,18,43.73,-87.80
1145,Fallasburg Park,18,42.99,-85.33
1146,Fallen Hero Memorial Disc Golf Course,18,31.98,-98.03
1147,Falling Creek Park - Red,18,37.31,-79.50
1148,Falling Creek Park - Yellow,18,37.31,-79.50
1149,Fantle Memorial Park,18,42.89,-97.39
1150,Far Hill Disc Golf Course,18,43.17,-85.72
1151,The Farm Disc Golf Course,18,36.49,-93.81
1152,Farm Life Disc Golf,18,35.74,-76.99
1153,The Farm at Quail Valley,18,37.20,-97.00
1154,Farmington Park Disc Golf Course,18,40.68,-90.01
1155,Farmington Park Disc Golf Course,18,35.95,-77.84
1156,Farmville Disc Golf Course,18,35.60,-77.58
1157,Farragut State Park - A.W.O.L.,18,47.97,-116.56
1158,Farragut State Park - Cutthroat,18,47.97,-116.56
1159,Farragut State Park - Little Black Bear,18,47.97,-116.56
1160,Farragut State Park - Northstar,18,47.97,-116.56
1161,Farragut State Park - Wreckreator,18,47.97,-116.56
1162,Farris Memorial Park,18,36.43,-79.99
1163,Faulkner State Community College,18,30.85,-87.78
1164,Fay Clark Park,18,42.05,-91.70
1165,Fayette County Park,18,38.09,-81.15
1166,Faylor Lake DiscGolfPark,18,40.76,-77.22
1167,FDR State Park,18,41.29,-73.81
1168,F.E. Warren Air Force Base,18,41.15,-104.85
1169,Feeney,18,38.13,-120.45
1170,Fehringer Ranch Park,18,39.64,-105.12
1171,Fel-Pro RRR Disc Golf Course,18,42.24,-88.23
1172,Fellowship Bible Church DGC,18,39.34,-77.84
1173,Ferrettie Baugo Creek County Park,18,41.67,-86.06
1174,Ferrum College Disc Golf,18,36.93,-80.02
1175,Ferry Park,18,30.42,-86.60
1176,Feyodi Creek Disc Golf Course,18,36.28,-96.44
1177,Fiddler's Creek Golf Center,23,45.99,-91.52
1178,Fields of Dreams Disc Golf Course,18,40.87,-74.90
1179,Findley State Park Disc Golf Course,18,41.13,-82.22
1180,Finnon Lake,27,38.80,-120.75
1181,Fire Mountain Disc Golf Course,18,39.57,-107.52
1182,Fire Mountain Disc Golf Sanctuary,18,35.51,-83.30
1183,Fire Swamp at West Ashley Park,18,32.82,-80.06
1184,Firefighters Park,18,42.61,-83.18
1185,Firefly Disc Golf,18,43.49,-70.60
1186,First Responders Disc Golf Course,18,36.45,-119.58
1187,Fitzgerald Park,18,42.76,-84.76
1188,Five Seasons Disc Golf Course,18,44.67,-90.76
1189,Flanacher Park Disc Golf Course,21,30.66,-91.23
1190,Flat Creek Estate Disc Golf Course,18,30.48,-98.05
1191,Flat Rock Disc Golf,18,42.53,-72.24
1192,Flat Rock Park Disc Golf Course,18,32.55,-84.88
1193,Flat Rocks Disc Golf Course,18,39.74,-82.60
1194,Flatirons West Gold Tees,18,40.01,-105.22
1195,Flip City Disc Golf Park,24,43.62,-86.25
1196,Flora Rotary Disc Golf at Charley Brown Park,18,38.66,-88.54
1197,Floral Park,24,28.72,-82.30
1198,Florence Disc Golf Course,18,45.93,-88.25
1199,Flory Park,18,40.06,-82.43
1200,Palmyra Black at Flower City Park,18,39.80,-91.54
1201,Fly By Faith,18,40.42,-86.80
1202,Flying Ace at Lufbery Park,18,41.46,-72.84
1203,Flying Armadillo Disc Golf Club - Big Course,18,29.95,-97.97
1204,Flying Armadillo Disc Golf Club - Gold Mini Course,18,29.95,-97.97
1205,Flying Bee Country Club,18,37.81,-97.37
1206,Flying Dragon Disc Golf Course,18,34.57,-87.04
1207,Flying Eagle Disc Golf - Raymond,18,32.26,-90.41
1208,Folletts Park,18,41.75,-90.35
1209,Fontana Village Resort Disc Golf Course,18,35.43,-83.82
1210,Foothills Disc Golf Course,18,34.80,-82.59
1211,Ford Park,21,32.49,-93.85
1212,Forest City Disc Golf,21,43.26,-93.63
1213,Forest Glen,18,43.13,-70.99
1214,Forest Park Disc Golf Course,18,38.62,-95.27
1215,Forest Park Disc Golf Course,18,39.51,-87.12
1216,Forest Valley Disc Golf Course,18,38.55,-77.35
1217,Forked Run State Park,24,39.09,-81.77
1218,Forest Hills Disc Golf and Country Club,18,28.18,-82.73
1219,Forrest Hills Disc Golf Paradise,18,38.46,-90.58
1220,Forrest Park,18,32.72,-101.95
1221,Forrest Park,18,40.46,-89.00
1222,Forsyth Park Disc Golf Course,18,39.93,-88.96
1223,Forsythe Park,18,41.68,-87.49
1224,Fort Benning Disc Golf Course,18,32.37,-84.96
1225,The Fort Buenaventura,18,41.22,-111.99
1226,Fort Buhlow Disc Golf Course - Gold,18,31.34,-92.45
1227,Fort Buhlow Disc Golf Course - Purple,18,31.34,-92.45
1228,Fort Irwin DiscGolf Park,18,35.26,-116.68
1229,Fort Kent Outdoor Center Disc Golf Course,18,47.23,-68.59
1230,Fort Lee Recreational Park,18,37.23,-77.34
1231,Fort Lewis College,18,37.27,-107.87
1232,Fort Massac State Park Disc Golf Course,18,37.15,-88.71
1233,Fort Nugent Park Disc Golf,18,48.29,-122.68
1234,Fort Rucker Flying Disc Golf Course,18,31.34,-85.70
1235,Fort Snelling,18,44.89,-93.19
1236,Fort Steilacoom Disc Golf Course,18,47.18,-122.56
1237,Fort Tuthill Disc Golf Course,18,35.14,-111.69
1238,Fort Walla Walla Disc Golf Course,18,46.05,-118.36
1239,Fort Washington State Park,18,40.12,-75.23
1240,Fort Yargo State Park,18,33.98,-83.73
1241,Fort Zumwalt Park,18,38.80,-90.71
1242,The Fortress Disc Golf Course,18,48.01,-106.43
1243,Foundation Park Disc Golf Course - Figure 8,18,38.53,-89.11
1244,Foundation Park Disc Golf Course - Champ 18,18,38.53,-89.11
1245,Fountain Hills Disc Golf Course,19,33.60,-111.71
1246,Four Mound Disc Golf,18,47.75,-117.45
1247,Four Seasons Disc Golf Course,18,34.51,-110.12
1248,The Fox Burrow,18,46.57,-116.30
1249,Fox Chase,18,35.39,-80.19
1250,Fox Hill Flyer,18,39.28,-94.57
1251,Fox Hill Park,18,36.18,-115.36
1252,Fox Prairie,18,38.10,-88.57
1253,Fox River Park - Grey Fox,18,42.54,-88.17
1254,Fox Run at Belgrade Lakes,18,44.60,-69.90
1255,France Park,18,40.76,-86.46
1256,Francis E. Walter Dam - Original,20,41.11,-75.71
1257,Frank Liske Park,18,35.36,-80.62
1258,Frank Merry Park,18,40.36,-85.29
1259,Franklin Falls Dam Disc Golf,18,43.47,-71.65
1260,Franklin Field,18,35.15,-119.44
1261,Franklin Park Disc Golf Course,18,41.89,-92.27
1262,Franklin Park Disc Golf Course,18,39.13,-77.74
1263,Franklin - Simpson Disc Golf Course,18,36.73,-86.55
1264,Fredericksen Wilderness Park,18,47.76,-122.64
1265,FreeDaddy Disc Golf Course,18,34.74,-79.48
1266,Freedlander Park,18,40.84,-81.94
1267,Freedom Park,27,30.91,-83.24
1268,Freedom Park,18,41.31,-87.43
1269,Freeman Lake Park,18,37.72,-85.88
1270,Freeman Park Disc Golf Course,18,43.51,-112.05
1271,French Creek State Park,18,40.20,-75.78
1272,Friends of Punderson State Park Disc Golf Course,18,41.46,-81.22
1273,Frisco Disco,18,35.23,-75.63
1274,Frisco Peak One Disc Golf Course,27,39.58,-106.08
1275,Fritchie Park,18,30.25,-89.77
1276,Fritz Park,18,32.80,-96.94
1277,Frog Creek Disc Golf Course at Shale City,18,42.27,-122.58
1278,Frog Rock Park,18,33.80,-84.64
1279,Frontier Park,18,38.86,-99.34
1280,Frontier at Rodeo Park,18,40.66,-91.32
1281,Frost Creek,20,48.96,-122.07
1282,Frost Valley YMCA,18,41.99,-74.50
1283,Fruita Riverfront Park Disc Golf Course,18,39.15,-108.75
1284,FSU Panama City,18,30.19,-85.72
1285,Ft. Hamby Park,18,36.14,-81.29
1286,Ft. Stockton Disc Golf Course,18,30.89,-102.87
1287,Fuller Park,18,41.44,-91.09
1288,Fulwood Disc Golf Course,18,31.46,-83.50
1289,The Fun Farm,22,38.24,-86.03
1290,Fun Junktion Disc Golf Course,18,36.24,-76.27
1291,Future Fuel Disc Golf Course,18,35.72,-91.55
1292,G T Bray Park Disc Golf Course,18,27.48,-82.61
1293,GA Veterans State Park,18,31.96,-83.92
1294,Gaffney's Grove Disc Golf Course,18,47.38,-122.04
1295,Galloway Hammond Rec Center,18,30.74,-98.23
1296,Gamers Ranch Disc Golf Course,18,38.38,-91.71
1297,Garden City Disc Golf Course,18,37.97,-100.85
1298,Garden Grove,18,35.98,-79.75
1299,Gardner Disc Golf Course,18,38.84,-94.93
1300,Gardner-Webb University Disc Golf Course,18,35.25,-81.67
1301,Garfield Park,18,42.93,-85.66
1302,Gargoyle Park,18,42.07,-78.47
1303,Gargoyles Garden Disc Golf Course,18,19.56,-155.11
1304,Long Cedar Disc Golf Course,18,38.31,-95.24
1305,Garvin Park Disc Golf,18,37.69,-96.98
1306,The Gates of Hell Disc Golf Course,18,33.21,-116.94
1307,Gateway Canyons Resort Disc Golf,18,38.68,-108.98
1308,Gateway Hills Park (Carroll Marty Disc Golf Course),18,42.01,-93.65
1309,Gateway West (The Privy),18,32.76,-97.29
1310,Gatewood Park,20,34.17,-84.72
1311,Gator Links at NLA,18,30.61,-87.08
1312,Gavins Point Disc Golf Course at Lewis and Clark State Rec. Area,18,42.86,-97.55
1313,General Sibley Park,24,46.75,-100.79
1314,George Anderson Disc Golf Course in Yellowstone National Park,18,44.55,-110.40
1315,George E. Francis - Riverview Park,18,36.86,-94.88
1316,George Payne Cossar State Park,18,34.14,-89.89
1317,The George Sappenfield Disc Golf Course at Yadkin Memorial Park,18,36.14,-80.75
1318,George Ward Park,24,33.49,-86.82
1319,George Washington Park,18,39.82,-86.11
1320,George Wilson Park,18,41.64,-86.15
1321,Georgetown College,18,38.21,-84.55
1322,Gering Disc Golf Course,18,41.82,-103.67
1323,Ghost Town,20,39.78,-105.53
1324,Ghost Tree at Augusta Disc Golf,18,44.29,-69.77
1325,Giants Ridge,18,47.54,-92.29
1326,Giles Run at Laurel Hill Park,18,38.70,-77.24
1327,Gillies Creek Park,18,37.52,-77.41
1328,Girdwood Forest Fair Park,36,60.96,-149.14
1329,Glacier Point,18,59.09,-135.39
1330,Glacier Ridge Metro Park,18,40.16,-83.19
1331,Glass Park at Fort Wainwright,18,64.84,-147.69
1332,Glen Helen Regional Park Disc Golf Course,18,34.21,-117.41
1333,Glen Isle Resort,21,39.41,-105.50
1334,The Glen Disc Golf Course,18,39.83,-84.87
1335,Glenburnie Park,18,35.14,-77.06
1336,Glendale City Park,18,42.74,-123.43
1337,Gleneagles Disc Golf Course,18,37.72,-122.42
1338,Glenn C. Hilton Memorial Park,24,35.76,-81.36
1339,Glenwood Park Disc Golf Course,18,37.34,-81.15
1340,Glenwood Park,18,37.33,-95.27
1341,Glooscap Trail,22,40.01,-82.41
1342,Gmfdc Urban Disc Golf Course,24,39.52,-84.40
1343,Goat Hill Park,18,33.20,-117.36
1344,Goat Island Disc Golf Course,18,35.24,-81.07
1345,Goblin Valley State Park,18,38.57,-110.71
1346,Golden Bell Camp Disc Golf Course,18,38.97,-105.20
1347,Golden Eagle Disc Golf Course at Buckhorn Canyon,18,40.43,-105.89
1348,Golden Gate Park Disc Golf Course,18,37.77,-122.49
1349,Golden Grove Farm and Brew,18,34.68,-82.52
1350,Golden Hills - Black Bear,19,37.17,-80.41
1351,Golden Hills - Golden Bear,19,37.17,-80.42
1352,The Golden 18,18,37.77,-92.88
1353,Goldenrod Disc Golf Course,18,43.10,-83.56
1354,The Golf Club of Oregon,18,44.65,-123.10
1355,Golf Course,18,45.09,-114.61
1356,Golf Tri-Plex,18,46.22,-119.15
1357,Goliath,18,37.35,-79.40
1358,Gonzales Disc Golf Course,18,29.51,-97.43
1359,Goose Creek Disc Golf Course,18,41.58,-90.58
1360,Goose Landing at Richfield Park,18,35.48,-80.26
1361,Gordon Holton Memorial Disc Golf Course at Delaware State Park,27,40.38,-83.06
1362,Gordy Road Preserve Disc Golf Course,27,27.40,-80.40
1363,GOREC Disc Golf Course,18,44.67,-85.48
1364,The Gorge at Anthony Run,18,40.64,-79.28
1365,Goyne Park Disc Golf Course,18,37.36,-77.46
1366,Graceland University,18,40.62,-93.93
1367,Pecan Hollow at Graham Creek Nature Preserve,18,30.34,-87.64
1368,Graham Memorial Park,18,37.57,-85.24
1369,Granbury City Park Disc Golf Course,21,32.45,-97.79
1370,Grand Central Station,18,34.71,-82.78
1371,Grand Geneva Resort and Spa,18,42.61,-88.41
1372,Grand Miami Disc Golf Course,19,40.53,-84.38
1373,Grand Park Disc Golf Course,18,39.93,-105.79
1374,Grand Targhee Resort,18,43.76,-111.00
1375,Grand View Winter Disc Golf Course,18,46.72,-92.28
1376,Grand Woods Park,18,42.76,-84.61
1377,Grandpa's Pond Disc Golf Course,18,37.18,-113.38
1378,Grandview Park,18,41.62,-93.56
1379,Lions Park Disc Golf Course,18,45.93,-116.11
1380,Lolo Hot Springs,18,46.72,-114.53
1381,Grant County Park,18,38.78,-84.61
1382,Grant's Nonesuch Valley Farm,18,43.58,-70.48
1383,The Grassman at West Branch State Park,18,41.14,-81.10
1384,Grassy Creek Disc Golf Course,18,39.56,-86.09
1385,Graviss McDonald's Disc Golf Course,18,38.05,-84.76
1386,Grayling Rotary - PDGA,24,44.65,-84.75
1387,Grayling Rotary - Pine Knoll,18,44.65,-84.75
1388,Graytown Park,18,29.21,-98.32
1389,Great Bend Disc Golf Course,18,38.37,-98.79
1390,Great Blue Heron,24,41.23,-82.59
1391,Great River Road State Park,18,33.85,-91.05
1392,Great Seal State Park,18,39.40,-82.94
1393,McAllen Disc Golf Course,18,26.18,-98.27
1394,Green Lake DiscGolfPark,18,44.60,-85.76
1395,Green River State Park Disc Golf Course,18,38.99,-110.15
1396,Green Valley Disc Golf Course,18,33.23,-84.22
1397,Green Valley Ranch Disc Golf Course,18,39.77,-104.74
1398,Greenbelt Lake at Kincaid Park West,18,34.99,-100.91
1399,Greenbelt Park,18,32.99,-96.89
1400,Greenbriar Community Center,18,32.67,-97.34
1401,Greenbrier Disc Golf Course,18,35.23,-92.36
1402,Greenbrier State Forest Disc Golf Course,18,37.73,-80.36
1403,Greene Co. Community Park,18,38.27,-78.42
1404,Greenfield Disc Golf Course,18,37.43,-79.93
1405,Greenfield Lake City Park - Front,18,41.30,-94.48
1406,Greenfield Lake City Park - Back,18,41.29,-94.47
1407,Greenridge Disc Golf Course,19,39.70,-75.69
1408,Greenville College Disc Golf Course,18,38.89,-89.41
1409,Greenwood Park,18,30.57,-91.16
1410,Greenwood Parks and Recreation,18,34.21,-82.14
1411,Greg Carter Memorial Disc Golf Course,18,33.64,-86.60
1412,Greystone Woods at Central Park,18,40.84,-74.50
1413,First Assembly of God Temp Course,18,33.27,-84.31
1414,Griffin Park,18,35.24,-97.43
1415,The Griffin,18,42.53,-78.67
1416,Griggs Reservoir Park,18,40.01,-83.09
1417,Grignon Park,18,44.29,-88.26
1418,Grindstone Park,27,33.32,-105.68
1419,Grizzly Oaks,18,42.67,-83.21
1420,The Grove,18,35.24,-101.83
1421,Grove City Community DGC,18,39.86,-83.07
1422,Grove City Disc Golf Course,21,41.16,-80.10
1423,Grove Creek Run at Graham Park,18,36.42,-89.03
1424,The Grove at North Regional,18,43.81,-123.05
1425,The Grove at Thompson Grove Park,18,40.24,-74.34
1426,The Mounds at Groves Park,27,35.99,-84.28
1427,Grubaugh Park,18,37.03,-93.20
1428,Guilford Meadows,18,36.10,-79.89
1429,The Gulch at Merrill Park West,18,42.45,-83.82
1430,Gulley Park,18,39.39,-84.07
1431,Gun Barrel City Disc Golf Course,18,32.34,-96.12
1432,GUNKS Disc Golf Course at Majestic Park,18,41.68,-74.16
1433,Gunn Park Disc Golf Course,18,37.83,-94.72
1434,Guthrie Park Disc Golf Course,18,32.51,-94.74
1435,H. V. Griffin Park,18,35.50,-86.45
1436,H.A. Alexander Park,18,34.48,-87.31
1437,H.A. Meyer Park,18,43.74,-87.99
1438,Hackett Hill,18,41.79,-73.92
1439,Hackett Park,18,40.70,-75.24
1440,Haikey Creek Park,18,36.00,-95.85
1441,Hal & Berni Hanson Regional Park Disc Golf Course,18,38.98,-77.55
1442,Halawaka Park,18,32.67,-85.22
1443,Half-Moon Lagoon Disc Golf Course,18,43.54,-90.01
1444,Halifax County Disc Golf Course,18,36.35,-77.62
1445,Halpatiokee Disc Golf Course,18,27.10,-80.25
1446,Halstead Hill,36,42.14,-76.33
1447,Ham Lake Disc Golf Course,18,45.25,-93.22
1448,Hammon Grove Park,18,39.23,-121.40
1449,Hammond Farm Disc Golf Course,18,43.40,-70.79
1450,Hammond Hill Disc Golf Course,18,42.67,-85.31
1451,Hampton Park Disc Golf Course,18,34.90,-82.39
1452,Handyman Ace Hardware Disc Golf Course,18,39.79,-84.01
1453,The Hangar - Wingfoot Lake State Park,18,41.02,-81.36
1454,The Hangar at Robert Cardinal Park,18,33.22,-87.61
1455,Hanging Oaks at Western Gateway Park,18,39.20,-121.19
1456,Hanna Hills Disc Golf Course,18,37.73,-92.25
1457,Hanson Ponds Disc Golf Course,18,47.19,-120.92
1458,Hap McLean Disc Golf Course,18,37.81,-97.32
1459,Hapana Disc Golf,18,44.47,-68.36
1460,Hard'Ack Disc Golf Course,18,44.82,-73.07
1461,Hardaway Point,18,35.40,-80.11
1462,Harder Park Disc Golf Course,18,45.52,-92.95
1463,Harding University,18,35.24,-91.72
1464,Harmon Hills,27,36.36,-82.65
1465,Harmony Bends Disc Golf at Strawn Park,18,38.97,-92.41
1466,Blackberry Pines - Disc & Camp,20,33.03,-95.03
1467,Harrison Road Disc Golf,18,36.33,-88.86
1468,Hobbs Army Airfield Disc Golf Course,18,32.77,-103.77
1469,Harry Myers Disc Golf Course,18,32.93,-96.45
1470,Hart Park - Shark Tooth Mountain Disc Golf Course,18,35.44,-118.90
1471,Hart Park - Suicide Flats,18,35.44,-118.90
1472,Harter Park Disc Golf Course,24,40.20,-84.83
1473,Hartsuff Park Disc Golf Course,18,42.14,-70.90
1474,Harvest Fields,18,40.77,-77.77
1475,Haslet Community Park,18,32.97,-97.35
1476,Hatten Park Disc Golf,18,44.39,-88.75
1477,Haubstadt Johnson Township Disc Golf Course,18,38.19,-87.56
1478,Haven Hill Disc Golf Course,18,34.17,-81.27
1479,Hawk Hollow,18,38.15,-77.86
1480,Hawkins Woods,18,41.99,-71.37
1481,Hawks Landing,18,42.63,-78.86
1482,Hawk's Nest,18,39.68,-86.25
1483,Haybro Red Tail Disc Golf Course,18,40.37,-106.95
1484,Hayden Park Disc Golf,18,41.94,-84.62
1485,Haywood Community College,18,35.53,-82.93
1486,Hazel Landing Park,18,39.94,-86.07
1487,Hazy Shade Disc Golf Course at Snyder Park,18,39.93,-83.84
1488,HCC Disc Golf Course,18,42.20,-72.65
1489,Heartwood Retreat - Main Course,24,46.02,-91.99
1490,Heckscher State Park Forest Disc Golf Course,21,40.71,-73.17
1491,Heilmann Park,18,35.47,-120.64
1492,Henagar Log Cabin Disc Golf Course,18,34.62,-85.76
1493,Hendershot’s Haven,18,35.61,-81.23
1494,Henderson Hills,18,37.86,-87.58
1495,Henderson Lake Nature Center,18,43.45,-86.33
1496,Hendrickson Park,18,36.77,-90.41
1497,Henry Horton State Park,18,35.59,-86.69
1498,Henry Jackson Park,18,37.66,-84.78
1499,Hensley Lake Disc Golf Course,18,37.12,-119.87
1500,Hereford Lions Disc Golf Course,18,34.81,-102.39
1501,Heritage Farm Park,20,39.50,-77.35
1502,Heritage Oaks Trail,18,31.04,-97.68
1503,Heritage Park,18,39.29,-84.66
1504,Heritage Park,18,34.15,-86.84
1505,Heritage Park Disc Golf Course,18,38.83,-94.75
1506,Heritage Park,18,41.62,-87.97
1507,Heritage Park Disc Golf Course,18,36.31,-119.77
1508,Heritage Park Disc Golf Course,18,33.00,-97.04
1509,Heritage Park Disc Golf Course,18,41.93,-84.00
1510,Heritage Park Belton,18,31.08,-97.45
1511,Heritage Park,21,41.73,-93.57
1512,Heritage Point Disc Golf,18,34.79,-84.94
1513,Heritage Trails Disc Golf Course,18,43.30,-88.27
1514,Herman C. Michael Park,18,33.87,-83.48
1515,Herman Hill Park,18,37.65,-97.34
1516,Herman Park,18,44.97,-85.66
1517,Hermiston Desert,18,45.85,-119.31
1518,Heron's Nest,18,43.97,-84.76
1519,Herr Park Disc Golf Course,18,40.02,-76.38
1520,Herrin Memorial Park,18,37.81,-89.02
1521,Hewitt Park,18,31.45,-97.20
1522,Heymann Park,18,30.22,-92.00
1523,Hickory Heights Golf Course,18,39.87,-76.83
1524,Hickory Hill Camping Resort,18,42.37,-77.31
1525,Hickory Hills,23,44.77,-85.66
1526,Hickory Winds Disc Golf Course,18,37.76,-89.25
1527,Hickory Run State Park,19,41.03,-75.68
1528,Hidden Acres Executive Disc Golf Course,18,42.74,-78.07
1529,Hidden Cove Disc Golf Course,18,34.92,-110.19
